session_id,arrival_time,departure_time,battery_capacity_kwh,soc_start,soc_target,energy_needed_kwh,charger_power_kw
S0290,2023-01-11 18:00:00,2023-01-12 08:00:00,50,0.587,0.755,8.379,3.7
S0291,2023-01-11 17:00:00,2023-01-12 05:00:00,75,0.547,0.813,19.897,3.7
S0292,2023-01-11 19:00:00,2023-01-12 08:00:00,60,0.433,0.845,24.743,11.0
S0293,2023-01-11 17:00:00,2023-01-12 06:00:00,82,0.634,0.826,15.774,3.7
S0294,2023-01-11 18:00:00,2023-01-12 08:00:00,40,0.371,0.568,7.889,3.7
S0295,2023-01-11 17:00:00,2023-01-12 08:00:00,40,0.457,0.905,17.934,7.4
S0296,2023-01-11 22:00:00,2023-01-12 08:00:00,82,0.174,0.817,52.799,11.0
S0297,2023-01-11 15:00:00,2023-01-12 07:00:00,75,0.577,0.931,26.563,7.4
S0298,2023-01-11 18:00:00,2023-01-12 08:00:00,60,0.426,0.595,10.133,11.0
S0299,2023-01-11 16:00:00,2023-01-12 09:00:00,40,0.485,0.635,6.005,11.0
S0300,2023-01-11 17:00:00,2023-01-12 03:00:00,50,0.31,0.936,31.261,7.4
S0301,2023-01-11 19:00:00,2023-01-12 06:00:00,82,0.197,0.853,53.798,11.0
S0302,2023-01-11 17:00:00,2023-01-12 07:00:00,82,0.22,0.799,47.459,11.0
S0303,2023-01-11 19:00:00,2023-01-12 07:00:00,40,0.624,0.922,11.924,3.7
S0304,2023-01-12 18:00:00,2023-01-13 06:00:00,50,0.639,0.815,8.775,11.0
S0305,2023-01-12 21:00:00,2023-01-13 05:00:00,40,0.365,0.66,11.789,3.7
S0306,2023-01-12 17:00:00,2023-01-13 07:00:00,50,0.566,0.786,10.974,3.7
S0307,2023-01-12 13:00:00,2023-01-13 07:00:00,75,0.183,0.946,57.19,7.4
S0308,2023-01-12 16:00:00,2023-01-13 07:00:00,40,0.273,0.763,19.593,3.7
S0309,2023-01-12 15:00:00,2023-01-13 06:00:00,60,0.247,0.636,23.336,7.4
S0310,2023-01-12 17:00:00,2023-01-13 07:00:00,40,0.244,0.572,13.132,3.7
S0311,2023-01-12 15:00:00,2023-01-13 06:00:00,75,0.284,0.812,39.558,11.0
S0312,2023-01-12 18:00:00,2023-01-13 05:00:00,40,0.406,0.662,10.217,3.7
S0313,2023-01-12 22:00:00,2023-01-13 09:00:00,60,0.428,0.818,23.4,11.0
S0314,2023-01-12 23:00:00,2023-01-13 07:00:00,50,0.188,0.822,31.676,3.7
S0315,2023-01-12 19:00:00,2023-01-13 08:00:00,40,0.477,0.753,11.034,7.4
S0316,2023-01-12 12:00:00,2023-01-13 06:00:00,82,0.578,0.842,21.677,11.0
S0317,2023-01-12 21:00:00,2023-01-13 09:00:00,60,0.361,0.669,18.484,3.7
S0318,2023-01-12 18:00:00,2023-01-13 06:00:00,75,0.275,0.823,41.091,11.0
S0319,2023-01-12 15:00:00,2023-01-13 07:00:00,50,0.571,0.854,14.148,7.4
S0320,2023-01-12 16:00:00,2023-01-13 07:00:00,60,0.293,0.72,25.584,11.0
S0321,2023-01-12 14:00:00,2023-01-13 07:00:00,60,0.556,0.738,10.88,7.4
S0322,2023-01-12 15:00:00,2023-01-13 08:00:00,50,0.463,0.664,10.037,7.4
S0323,2023-01-12 14:00:00,2023-01-13 05:00:00,75,0.407,0.752,25.876,11.0
S0324,2023-01-12 13:00:00,2023-01-13 06:00:00,40,0.563,0.828,10.609,7.4
S0325,2023-01-12 17:00:00,2023-01-13 08:00:00,40,0.193,0.836,25.708,11.0
S0326,2023-01-12 16:00:00,2023-01-13 09:00:00,82,0.224,0.772,44.893,11.0
S0327,2023-01-13 19:00:00,2023-01-14 08:00:00,40,0.38,0.627,9.893,11.0
S0328,2023-01-13 19:00:00,2023-01-14 08:00:00,60,0.255,0.641,23.14,3.7
S0329,2023-01-13 17:00:00,2023-01-14 09:00:00,50,0.472,0.734,13.064,11.0
S0330,2023-01-13 19:00:00,2023-01-14 08:00:00,75,0.475,0.663,14.081,3.7
S0331,2023-01-13 18:00:00,2023-01-14 08:00:00,60,0.586,0.95,21.846,11.0
S0332,2023-01-13 15:00:00,2023-01-14 06:00:00,60,0.648,0.927,16.704,3.7
S0333,2023-01-13 17:00:00,2023-01-14 08:00:00,40,0.342,0.885,21.715,11.0
S0334,2023-01-13 19:00:00,2023-01-14 08:00:00,40,0.559,0.718,6.37,11.0
S0335,2023-01-13 12:00:00,2023-01-14 07:00:00,82,0.577,0.758,14.864,3.7
S0336,2023-01-13 18:00:00,2023-01-14 09:00:00,50,0.177,0.84,33.154,11.0
S0337,2023-01-13 12:00:00,2023-01-14 07:00:00,40,0.589,0.911,12.868,11.0
S0338,2023-01-13 19:00:00,2023-01-14 08:00:00,75,0.581,0.748,12.539,11.0
S0339,2023-01-13 21:00:00,2023-01-14 07:00:00,82,0.484,0.806,26.35,7.4
S0340,2023-01-13 16:00:00,2023-01-14 08:00:00,40,0.357,0.681,12.931,7.4
S0341,2023-01-13 15:00:00,2023-01-14 07:00:00,82,0.397,0.935,44.093,7.4
S0342,2023-01-13 21:00:00,2023-01-14 08:00:00,75,0.425,0.856,32.318,3.7
S0343,2023-01-13 18:00:00,2023-01-14 06:00:00,40,0.479,0.937,18.319,7.4
S0344,2023-01-13 21:00:00,2023-01-14 05:00:00,40,0.287,0.888,24.055,7.4
S0345,2023-01-13 17:00:00,2023-01-14 07:00:00,60,0.568,0.752,11.069,3.7
S0346,2023-01-13 19:00:00,2023-01-14 08:00:00,75,0.563,0.91,25.994,3.7
S0347,2023-01-13 18:00:00,2023-01-14 07:00:00,50,0.631,0.858,11.386,3.7
S0348,2023-01-13 20:00:00,2023-01-14 06:00:00,60,0.203,0.779,34.586,3.7
S0349,2023-01-13 16:00:00,2023-01-14 10:00:00,40,0.421,0.66,9.53,7.4
S0350,2023-01-13 14:00:00,2023-01-14 09:00:00,82,0.597,0.934,27.608,3.7
S0351,2023-01-13 20:00:00,2023-01-14 04:00:00,40,0.523,0.675,6.093,7.4
S0352,2023-01-13 23:00:00,2023-01-14 07:00:00,40,0.486,0.76,10.955,3.7
S0353,2023-01-13 21:00:00,2023-01-14 09:00:00,75,0.488,0.768,21.032,7.4
S0354,2023-01-13 19:00:00,2023-01-14 09:00:00,75,0.246,0.886,47.999,11.0
S0355,2023-01-13 18:00:00,2023-01-14 07:00:00,60,0.266,0.844,34.697,11.0
S0356,2023-01-13 16:00:00,2023-01-14 08:00:00,82,0.306,0.916,49.979,3.7
S0357,2023-01-13 15:00:00,2023-01-14 08:00:00,40,0.256,0.675,16.787,11.0
S0358,2023-01-13 17:00:00,2023-01-14 07:00:00,82,0.31,0.848,44.075,11.0
S0359,2023-01-13 21:00:00,2023-01-14 07:00:00,82,0.196,0.842,52.945,3.7
S0360,2023-01-13 23:00:00,2023-01-14 07:00:00,75,0.223,0.712,36.725,3.7
S0361,2023-01-14 15:00:00,2023-01-15 09:00:00,50,0.593,0.916,16.164,11.0
S0362,2023-01-14 16:00:00,2023-01-15 09:00:00,82,0.214,0.773,45.791,7.4
S0363,2023-01-14 11:00:00,2023-01-15 08:00:00,50,0.328,0.635,15.364,7.4
S0364,2023-01-14 16:00:00,2023-01-15 12:00:00,75,0.392,0.824,32.431,7.4
S0365,2023-01-14 17:00:00,2023-01-15 10:00:00,40,0.245,0.594,13.966,11.0
S0366,2023-01-14 22:00:00,2023-01-15 08:00:00,82,0.3,0.677,30.925,7.4
S0367,2023-01-14 18:00:00,2023-01-15 07:00:00,50,0.568,0.814,12.318,3.7
S0368,2023-01-14 17:00:00,2023-01-15 11:00:00,60,0.643,0.874,13.824,7.4
S0369,2023-01-14 16:00:00,2023-01-15 10:00:00,60,0.428,0.853,25.519,7.4
S0370,2023-01-14 18:00:00,2023-01-15 10:00:00,40,0.46,0.855,15.767,3.7
S0371,2023-01-14 17:00:00,2023-01-15 07:00:00,40,0.489,0.768,11.154,7.4
S0372,2023-01-14 15:00:00,2023-01-15 10:00:00,82,0.648,0.912,21.637,11.0
S0373,2023-01-14 21:00:00,2023-01-15 10:00:00,75,0.32,0.553,17.438,7.4
S0374,2023-01-14 19:00:00,2023-01-15 09:00:00,82,0.313,0.725,33.745,7.4
S0375,2023-01-14 14:00:00,2023-01-15 09:00:00,82,0.222,0.828,49.677,7.4
S0376,2023-01-14 17:00:00,2023-01-15 09:00:00,50,0.354,0.621,13.364,7.4
S0377,2023-01-14 18:00:00,2023-01-15 09:00:00,60,0.504,0.791,17.224,7.4
S0378,2023-01-14 18:00:00,2023-01-15 09:00:00,60,0.513,0.83,18.968,3.7
S0379,2023-01-14 17:00:00,2023-01-15 09:00:00,60,0.382,0.79,24.485,3.7
S0380,2023-01-14 19:00:00,2023-01-15 09:00:00,75,0.41,0.78,27.79,7.4
S0381,2023-01-14 17:00:00,2023-01-15 08:00:00,50,0.248,0.796,27.366,3.7
S0382,2023-01-14 20:00:00,2023-01-15 08:00:00,40,0.641,0.875,9.351,7.4
S0383,2023-01-14 14:00:00,2023-01-15 09:00:00,82,0.579,0.795,17.711,3.7
S0384,2023-01-14 19:00:00,2023-01-15 08:00:00,60,0.369,0.923,33.263,7.4
S0385,2023-01-15 18:00:00,2023-01-16 07:00:00,60,0.576,0.838,15.718,3.7
S0386,2023-01-15 19:00:00,2023-01-16 12:00:00,75,0.627,0.882,19.067,11.0
S0387,2023-01-15 14:00:00,2023-01-16 08:00:00,82,0.643,0.843,16.354,3.7
S0388,2023-01-15 17:00:00,2023-01-16 08:00:00,50,0.278,0.558,13.994,3.7
S0389,2023-01-15 21:00:00,2023-01-16 07:00:00,50,0.366,0.642,13.811,3.7
S0390,2023-01-15 20:00:00,2023-01-16 11:00:00,82,0.185,0.802,50.613,7.4
S0391,2023-01-15 13:00:00,2023-01-16 06:00:00,50,0.428,0.896,23.383,11.0
S0392,2023-01-15 15:00:00,2023-01-16 07:00:00,75,0.198,0.63,32.449,7.4
S0393,2023-01-15 21:00:00,2023-01-16 10:00:00,60,0.453,0.843,23.411,3.7
S0394,2023-01-15 10:00:00,2023-01-16 08:00:00,60,0.37,0.577,12.429,7.4
S0395,2023-01-15 18:00:00,2023-01-16 10:00:00,60,0.583,0.74,9.433,3.7
S0396,2023-01-15 18:00:00,2023-01-16 10:00:00,60,0.398,0.718,19.237,11.0
S0397,2023-01-15 15:00:00,2023-01-16 08:00:00,60,0.355,0.666,18.675,7.4
S0398,2023-01-15 15:00:00,2023-01-16 07:00:00,40,0.154,0.886,29.258,11.0
S0399,2023-01-15 14:00:00,2023-01-16 11:00:00,40,0.418,0.776,14.311,7.4
S0400,2023-01-15 12:00:00,2023-01-16 08:00:00,40,0.172,0.572,15.969,11.0
S0401,2023-01-15 16:00:00,2023-01-16 08:00:00,60,0.202,0.879,40.604,11.0
S0402,2023-01-15 12:00:00,2023-01-16 08:00:00,40,0.402,0.871,18.769,3.7
S0403,2023-01-15 19:00:00,2023-01-16 09:00:00,82,0.641,0.855,17.492,3.7
S0404,2023-01-15 16:00:00,2023-01-16 10:00:00,60,0.541,0.888,20.802,11.0
S0405,2023-01-15 17:00:00,2023-01-16 08:00:00,75,0.396,0.902,37.961,7.4
S0406,2023-01-15 15:00:00,2023-01-16 11:00:00,40,0.455,0.87,16.627,7.4
S0407,2023-01-15 20:00:00,2023-01-16 07:00:00,75,0.636,0.792,11.712,11.0
S0408,2023-01-15 14:00:00,2023-01-16 10:00:00,75,0.535,0.843,23.127,11.0
S0409,2023-01-15 15:00:00,2023-01-16 08:00:00,82,0.443,0.721,22.83,11.0
S0410,2023-01-16 20:00:00,2023-01-17 07:00:00,40,0.223,0.912,27.568,3.7
S0411,2023-01-16 22:00:00,2023-01-17 08:00:00,60,0.289,0.93,38.439,11.0
S0412,2023-01-16 19:00:00,2023-01-17 06:00:00,60,0.563,0.93,21.981,11.0
S0413,2023-01-16 17:00:00,2023-01-17 07:00:00,50,0.532,0.839,15.369,11.0
S0414,2023-01-16 23:00:00,2023-01-17 06:00:00,82,0.163,0.825,54.305,3.7
S0415,2023-01-16 20:00:00,2023-01-17 07:00:00,60,0.192,0.654,27.69,11.0
S0416,2023-01-16 18:00:00,2023-01-17 08:00:00,82,0.326,0.714,31.842,3.7
S0417,2023-01-16 20:00:00,2023-01-17 09:00:00,82,0.256,0.825,46.725,7.4
S0418,2023-01-16 20:00:00,2023-01-17 06:00:00,82,0.546,0.909,29.76,3.7
S0419,2023-01-16 19:00:00,2023-01-17 07:00:00,60,0.307,0.597,17.358,7.4
S0420,2023-01-16 15:00:00,2023-01-17 08:00:00,40,0.503,0.871,14.747,7.4
S0421,2023-01-16 16:00:00,2023-01-17 07:00:00,50,0.201,0.712,25.544,3.7
S0422,2023-01-16 19:00:00,2023-01-17 06:00:00,50,0.57,0.823,12.661,3.7
S0423,2023-01-16 19:00:00,2023-01-17 03:00:00,50,0.552,0.769,10.878,3.7
S0424,2023-01-16 16:00:00,2023-01-17 06:00:00,75,0.445,0.756,23.363,11.0
S0425,2023-01-16 21:00:00,2023-01-17 06:00:00,82,0.538,0.903,29.934,11.0
S0426,2023-01-16 21:00:00,2023-01-17 05:00:00,50,0.547,0.918,18.564,3.7
S0427,2023-01-16 17:00:00,2023-01-17 06:00:00,50,0.417,0.587,8.511,3.7
S0428,2023-01-16 17:00:00,2023-01-17 10:00:00,82,0.504,0.663,13.057,11.0
S0429,2023-01-16 16:00:00,2023-01-17 07:00:00,40,0.63,0.898,10.71,3.7
S0430,2023-01-16 16:00:00,2023-01-17 09:00:00,75,0.471,0.729,19.328,11.0
S0431,2023-01-16 15:00:00,2023-01-17 08:00:00,60,0.619,0.797,10.663,7.4
S0432,2023-01-16 13:00:00,2023-01-17 07:00:00,40,0.255,0.646,15.668,11.0
S0433,2023-01-16 22:00:00,2023-01-17 06:00:00,82,0.316,0.663,28.486,7.4
S0434,2023-01-16 21:00:00,2023-01-17 10:00:00,50,0.393,0.676,14.124,3.7
S0435,2023-01-16 20:00:00,2023-01-17 08:00:00,40,0.492,0.845,14.152,3.7
S0436,2023-01-16 21:00:00,2023-01-17 07:00:00,75,0.27,0.699,32.189,7.4
S0437,2023-01-16 15:00:00,2023-01-17 07:00:00,82,0.607,0.836,18.786,7.4
S0438,2023-01-16 17:00:00,2023-01-17 06:00:00,50,0.644,0.855,10.53,11.0
S0439,2023-01-16 19:00:00,2023-01-17 09:00:00,60,0.364,0.629,15.902,7.4
S0440,2023-01-16 18:00:00,2023-01-17 09:00:00,60,0.159,0.743,35.044,11.0
S0441,2023-01-16 16:00:00,2023-01-17 09:00:00,60,0.236,0.762,31.565,7.4
S0442,2023-01-16 16:00:00,2023-01-17 07:00:00,60,0.617,0.926,18.534,11.0
S0443,2023-01-17 19:00:00,2023-01-18 09:00:00,82,0.388,0.866,39.245,7.4
S0444,2023-01-17 18:00:00,2023-01-18 06:00:00,40,0.495,0.769,10.923,7.4
S0445,2023-01-17 14:00:00,2023-01-18 05:00:00,50,0.337,0.93,29.67,7.4
S0446,2023-01-17 17:00:00,2023-01-18 06:00:00,60,0.31,0.651,20.426,11.0
S0447,2023-01-17 15:00:00,2023-01-18 08:00:00,60,0.622,0.913,17.515,11.0
S0448,2023-01-17 16:00:00,2023-01-18 09:00:00,60,0.489,0.817,19.676,11.0
S0449,2023-01-17 17:00:00,2023-01-18 05:00:00,40,0.619,0.785,6.661,7.4
S0450,2023-01-17 18:00:00,2023-01-18 07:00:00,60,0.643,0.89,14.821,7.4
S0451,2023-01-17 16:00:00,2023-01-18 06:00:00,75,0.605,0.947,25.628,3.7
S0452,2023-01-17 17:00:00,2023-01-18 06:00:00,82,0.317,0.682,29.907,11.0
S0453,2023-01-17 17:00:00,2023-01-18 08:00:00,82,0.21,0.642,35.438,7.4
S0454,2023-01-17 21:00:00,2023-01-18 05:00:00,82,0.494,0.818,26.504,7.4
S0455,2023-01-17 17:00:00,2023-01-18 06:00:00,50,0.278,0.601,16.163,11.0
S0456,2023-01-17 21:00:00,2023-01-18 07:00:00,75,0.64,0.938,22.334,3.7
S0457,2023-01-17 13:00:00,2023-01-18 08:00:00,75,0.203,0.825,46.68,11.0
S0458,2023-01-17 21:00:00,2023-01-18 06:00:00,50,0.552,0.743,9.521,3.7
S0459,2023-01-17 17:00:00,2023-01-18 08:00:00,60,0.441,0.941,30.021,11.0
S0460,2023-01-17 20:00:00,2023-01-18 11:00:00,82,0.413,0.689,22.58,7.4
S0461,2023-01-17 14:00:00,2023-01-18 06:00:00,82,0.201,0.57,30.24,11.0
S0462,2023-01-18 21:00:00,2023-01-19 05:00:00,50,0.356,0.683,16.365,3.7
S0463,2023-01-18 21:00:00,2023-01-19 05:00:00,60,0.607,0.911,18.258,7.4
S0464,2023-01-18 21:00:00,2023-01-19 07:00:00,40,0.641,0.888,9.915,3.7
S0465,2023-01-18 15:00:00,2023-01-19 09:00:00,40,0.498,0.751,10.137,7.4
S0466,2023-01-18 15:00:00,2023-01-19 07:00:00,82,0.41,0.85,36.016,11.0
S0467,2023-01-18 15:00:00,2023-01-19 08:00:00,40,0.163,0.839,27.064,7.4
S0468,2023-01-18 21:00:00,2023-01-19 07:00:00,75,0.602,0.885,21.251,11.0
S0469,2023-01-18 13:00:00,2023-01-19 04:00:00,75,0.185,0.626,33.021,3.7
S0470,2023-01-18 19:00:00,2023-01-19 08:00:00,82,0.472,0.632,13.062,3.7
S0471,2023-01-18 18:00:00,2023-01-19 06:00:00,82,0.17,0.63,37.744,7.4
S0472,2023-01-18 19:00:00,2023-01-19 09:00:00,60,0.285,0.562,16.58,7.4
S0473,2023-01-18 16:00:00,2023-01-19 07:00:00,50,0.579,0.838,12.972,11.0
S0474,2023-01-18 17:00:00,2023-01-19 05:00:00,40,0.371,0.576,8.215,11.0
S0475,2023-01-18 21:00:00,2023-01-19 09:00:00,82,0.582,0.833,20.6,7.4
S0476,2023-01-18 17:00:00,2023-01-19 05:00:00,82,0.366,0.864,40.871,11.0
S0477,2023-01-18 16:00:00,2023-01-19 06:00:00,40,0.381,0.864,19.309,11.0
S0478,2023-01-18 20:00:00,2023-01-19 08:00:00,50,0.473,0.894,21.058,11.0
S0479,2023-01-18 18:00:00,2023-01-19 09:00:00,40,0.249,0.677,17.13,11.0
S0480,2023-01-18 18:00:00,2023-01-19 08:00:00,60,0.229,0.875,38.749,3.7
S0481,2023-01-18 22:00:00,2023-01-19 08:00:00,75,0.374,0.866,36.921,7.4
S0482,2023-01-18 16:00:00,2023-01-19 07:00:00,82,0.369,0.709,27.9,11.0
S0483,2023-01-18 13:00:00,2023-01-19 11:00:00,50,0.235,0.641,20.268,11.0
S0484,2023-01-18 17:00:00,2023-01-19 06:00:00,82,0.235,0.815,47.546,3.7
S0485,2023-01-18 18:00:00,2023-01-19 04:00:00,75,0.502,0.739,17.775,11.0
S0486,2023-01-18 13:00:00,2023-01-19 09:00:00,82,0.579,0.94,29.625,3.7
S0487,2023-01-18 20:00:00,2023-01-19 06:00:00,82,0.419,0.742,26.492,7.4
S0488,2023-01-18 12:00:00,2023-01-19 07:00:00,40,0.322,0.949,25.073,11.0
S0489,2023-01-18 15:00:00,2023-01-19 07:00:00,75,0.594,0.809,16.169,11.0
S0490,2023-01-18 17:00:00,2023-01-19 08:00:00,82,0.387,0.802,34.077,7.4
S0491,2023-01-18 16:00:00,2023-01-19 06:00:00,82,0.151,0.899,61.321,3.7
S0492,2023-01-18 19:00:00,2023-01-19 05:00:00,40,0.581,0.942,14.414,7.4
S0493,2023-01-18 17:00:00,2023-01-19 05:00:00,60,0.485,0.657,10.359,11.0
S0494,2023-01-18 19:00:00,2023-01-19 05:00:00,40,0.28,0.785,20.202,3.7
S0495,2023-01-18 21:00:00,2023-01-19 07:00:00,40,0.543,0.866,12.928,3.7
S0496,2023-01-19 15:00:00,2023-01-20 09:00:00,40,0.252,0.847,23.811,3.7
S0497,2023-01-19 17:00:00,2023-01-20 08:00:00,60,0.627,0.794,10.051,11.0
S0498,2023-01-19 13:00:00,2023-01-20 07:00:00,40,0.161,0.572,16.441,3.7
S0499,2023-01-19 19:00:00,2023-01-20 08:00:00,50,0.411,0.865,22.698,11.0
S0500,2023-01-19 18:00:00,2023-01-20 07:00:00,75,0.51,0.882,27.889,11.0
S0501,2023-01-19 18:00:00,2023-01-20 07:00:00,82,0.619,0.803,15.054,7.4
S0502,2023-01-19 18:00:00,2023-01-20 07:00:00,40,0.308,0.72,16.47,11.0
S0503,2023-01-19 20:00:00,2023-01-20 07:00:00,82,0.495,0.885,31.955,3.7
S0504,2023-01-19 20:00:00,2023-01-20 07:00:00,82,0.611,0.928,25.968,11.0
S0505,2023-01-19 20:00:00,2023-01-20 09:00:00,82,0.224,0.716,40.289,3.7
S0506,2023-01-19 18:00:00,2023-01-20 08:00:00,82,0.231,0.746,42.17,11.0
S0507,2023-01-19 17:00:00,2023-01-20 05:00:00,50,0.394,0.829,21.763,11.0
S0508,2023-01-19 20:00:00,2023-01-20 09:00:00,40,0.605,0.758,6.141,3.7
S0509,2023-01-19 22:00:00,2023-01-20 04:00:00,50,0.312,0.605,14.628,3.7
S0510,2023-01-19 21:00:00,2023-01-20 07:00:00,75,0.487,0.889,30.124,11.0
S0511,2023-01-19 14:00:00,2023-01-20 08:00:00,75,0.551,0.912,27.026,3.7
S0512,2023-01-19 19:00:00,2023-01-20 06:00:00,82,0.234,0.947,58.516,11.0
S0513,2023-01-19 15:00:00,2023-01-20 06:00:00,82,0.482,0.765,23.233,3.7
S0514,2023-01-19 20:00:00,2023-01-20 07:00:00,60,0.296,0.582,17.118,3.7
S0515,2023-01-19 15:00:00,2023-01-20 06:00:00,75,0.347,0.705,26.889,11.0
S0516,2023-01-19 20:00:00,2023-01-20 06:00:00,82,0.284,0.682,32.596,3.7
S0517,2023-01-19 16:00:00,2023-01-20 06:00:00,50,0.534,0.919,19.261,11.0
S0518,2023-01-19 13:00:00,2023-01-20 03:00:00,50,0.531,0.819,14.391,11.0
S0519,2023-01-19 16:00:00,2023-01-20 06:00:00,75,0.451,0.83,28.422,3.7
S0520,2023-01-19 22:00:00,2023-01-20 11:00:00,40,0.333,0.711,15.107,11.0
S0521,2023-01-19 22:00:00,2023-01-20 06:00:00,50,0.59,0.842,12.628,7.4
S0522,2023-01-19 15:00:00,2023-01-20 08:00:00,40,0.227,0.698,18.818,11.0
S0523,2023-01-19 17:00:00,2023-01-20 06:00:00,75,0.53,0.818,21.626,7.4
S0524,2023-01-19 18:00:00,2023-01-20 05:00:00,60,0.468,0.895,25.605,3.7
S0525,2023-01-19 15:00:00,2023-01-20 06:00:00,60,0.384,0.646,15.745,3.7
S0526,2023-01-20 19:00:00,2023-01-21 07:00:00,60,0.554,0.901,20.79,7.4
S0527,2023-01-20 21:00:00,2023-01-21 07:00:00,50,0.564,0.814,12.524,3.7
S0528,2023-01-20 23:00:00,2023-01-21 10:00:00,40,0.375,0.726,14.059,11.0
S0529,2023-01-20 14:00:00,2023-01-21 09:00:00,82,0.248,0.715,38.263,7.4
S0530,2023-01-20 18:00:00,2023-01-21 06:00:00,75,0.419,0.646,17.072,7.4
S0531,2023-01-20 18:00:00,2023-01-21 09:00:00,60,0.168,0.749,34.883,7.4
S0532,2023-01-20 22:00:00,2023-01-21 08:00:00,50,0.555,0.937,19.086,7.4
S0533,2023-01-20 23:00:00,2023-01-21 08:00:00,60,0.18,0.68,30.01,7.4
S0534,2023-01-20 15:00:00,2023-01-21 07:00:00,60,0.222,0.554,19.907,3.7
S0535,2023-01-20 22:00:00,2023-01-21 06:00:00,60,0.308,0.585,16.617,3.7
S0536,2023-01-20 19:00:00,2023-01-21 11:00:00,50,0.479,0.714,11.732,11.0
S0537,2023-01-20 17:00:00,2023-01-21 07:00:00,75,0.358,0.734,28.197,3.7
S0538,2023-01-20 17:00:00,2023-01-21 08:00:00,40,0.474,0.868,15.754,3.7
S0539,2023-01-20 18:00:00,2023-01-21 10:00:00,60,0.512,0.894,22.937,7.4
S0540,2023-01-20 16:00:00,2023-01-21 10:00:00,50,0.573,0.738,8.224,3.7
S0541,2023-01-20 19:00:00,2023-01-21 07:00:00,75,0.307,0.851,40.863,11.0
S0542,2023-01-20 18:00:00,2023-01-21 07:00:00,75,0.512,0.778,19.966,7.4
S0543,2023-01-20 16:00:00,2023-01-21 06:00:00,50,0.276,0.732,22.782,3.7
S0544,2023-01-21 09:00:00,2023-01-22 07:00:00,60,0.195,0.786,35.483,11.0
S0545,2023-01-21 12:00:00,2023-01-22 06:00:00,50,0.517,0.676,7.935,3.7
S0546,2023-01-21 13:00:00,2023-01-22 10:00:00,40,0.237,0.933,27.854,7.4
S0547,2023-01-21 15:00:00,2023-01-22 07:00:00,40,0.359,0.845,19.434,7.4
S0548,2023-01-21 17:00:00,2023-01-22 12:00:00,40,0.274,0.786,20.468,3.7
S0549,2023-01-21 15:00:00,2023-01-22 09:00:00,40,0.235,0.652,16.672,11.0
S0550,2023-01-21 15:00:00,2023-01-22 09:00:00,82,0.32,0.594,22.537,7.4
S0551,2023-01-21 14:00:00,2023-01-22 11:00:00,50,0.556,0.784,11.398,3.7
S0552,2023-01-21 18:00:00,2023-01-22 12:00:00,82,0.209,0.624,34.067,11.0
S0553,2023-01-21 18:00:00,2023-01-22 09:00:00,40,0.405,0.803,15.925,7.4
S0554,2023-01-21 07:00:00,2023-01-21 09:00:00,50,0.388,0.855,23.357,7.4
S0555,2023-01-21 17:00:00,2023-01-22 09:00:00,75,0.357,0.857,,7.4
S0556,2023-01-21 15:00:00,2023-01-22 09:00:00,60,0.168,0.798,37.791,3.7
S0557,2023-01-21 18:00:00,2023-01-22 11:00:00,75,0.307,0.734,32.011,11.0
S0558,2023-01-21 15:00:00,2023-01-22 10:00:00,60,0.343,0.764,25.259,3.7
S0559,2023-01-21 14:00:00,2023-01-22 09:00:00,60,0.154,0.862,42.471,3.7
S0560,2023-01-21 16:00:00,2023-01-22 08:00:00,82,0.549,0.896,28.414,3.7
S0561,2023-01-21 19:00:00,2023-01-22 09:00:00,82,0.588,0.742,12.631,7.4
S0562,2023-01-21 16:00:00,2023-01-22 07:00:00,40,0.476,0.646,6.794,3.7
S0563,2023-01-21 15:00:00,2023-01-22 09:00:00,40,0.61,0.844,9.347,11.0
S0564,2023-01-21 21:00:00,2023-01-22 07:00:00,40,0.377,0.646,10.736,7.4
S0565,2023-01-21 17:00:00,2023-01-22 11:00:00,60,0.498,0.774,16.584,11.0
S0566,2023-01-21 21:00:00,2023-01-22 08:00:00,50,0.609,0.784,8.782,11.0
S0567,2023-01-21 13:00:00,2023-01-22 09:00:00,50,0.607,0.79,9.132,7.4
S0568,2023-01-22 16:00:00,2023-01-23 10:00:00,75,0.495,0.866,27.84,3.7
S0569,2023-01-22 14:00:00,2023-01-23 09:00:00,75,0.348,0.62,20.409,11.0
S0570,2023-01-22 16:00:00,2023-01-23 13:00:00,40,0.188,0.927,29.592,3.7
S0571,2023-01-22 15:00:00,2023-01-23 08:00:00,75,0.528,0.843,23.64,11.0
S0572,2023-01-22 17:00:00,2023-01-23 10:00:00,75,0.427,0.945,38.855,7.4
S0573,2023-01-22 15:00:00,2023-01-23 09:00:00,82,0.565,0.819,20.867,11.0
S0574,2023-01-22 17:00:00,2023-01-23 10:00:00,40,0.229,0.788,22.359,11.0
S0575,2023-01-22 19:00:00,2023-01-23 09:00:00,75,0.204,0.718,38.565,11.0
S0576,2023-01-22 17:00:00,2023-01-23 08:00:00,50,0.472,0.651,8.944,3.7
S0577,2023-01-22 13:00:00,2023-01-23 11:00:00,75,0.381,0.706,24.363,11.0
S0578,2023-01-22 18:00:00,2023-01-23 08:00:00,82,0.582,0.902,26.273,11.0
S0579,2023-01-22 16:00:00,2023-01-23 09:00:00,40,0.287,0.88,23.695,7.4
